sel.K	K	ERR2192535	ERR2192536	ERR2192537	ERR2192538	ERR2192539	ERR2192540	ERR2192541	ERR2192542	ERR2192544	ERR2192545	ERR2192546	ERR2192547	ERR2192548	ERR2192549	ERR2192550	ERR2192551	ERR2192553	ERR2192554	ERR2192555	ERR2192556	ERR2192557	ERR2192559
TRUE	2	2	1	2	1	2	1	2	2	2	2	2	2	1	1	1	2	1	1	1	1	2	2
FALSE	3	2	1	3	1	3	1	2	3	3	3	3	2	1	1	1	3	1	1	1	1	3	3
FALSE	4	3	3	4	2	4	1	3	4	4	4	4	3	1	1	1	4	2	1	2	1	4	4
FALSE	5	5	4	3	4	3	1	5	2	3	2	2	5	1	1	1	3	4	1	1	1	3	3
FALSE	6	6	4	3	4	3	1	6	2	3	2	2	6	1	1	1	3	4	1	1	1	3	5
FALSE	7	7	6	3	6	3	2	7	5	3	5	5	7	2	2	2	3	6	2	1	2	3	4
FALSE	8	8	7	5	7	5	2	8	4	6	4	4	8	2	2	1	6	7	2	1	2	5	3
FALSE	9	9	5	2	5	2	1	9	6	3	6	6	7	1	1	1	3	5	1	4	1	2	8
FALSE	10	10	6	1	6	1	3	10	8	2	7	8	9	3	3	4	2	5	3	4	3	1	10
FALSE	11	9	11	3	11	3	1	9	7	4	6	7	8	1	1	2	4	10	1	2	1	3	5
FALSE	12	8	6	4	6	4	1	8	9	11	12	9	10	1	1	2	3	5	1	2	1	4	7
